region,date,"case fatality rate (cfr) -  
 confirmed & probable cases",case fatality rate (cfr) - confirmed & probable cases,contacts lost to follow-up,contacts seen,"contacts who completed 21 day  
 follow-up",contacts who completed 21 day follow-up,cumulative (confirmed + probable + suspected),cumulative (confirmed + probable + suspects),cumulative cfr,cumulative admission/isolation,cumulative cases among hcw,"cumulative confirmed, probable and suspected cases",cumulative deaths among hcw,currently under follow-up,new case/s (probable),new case/s (suspected),new admissions,new case/s (confirmed),newly reported cases in hcw,newly reported deaths in hcw,newly reported contacts,newly reported deaths,specimens collected,specimens pending for testing,total case/s (probable),total case/s (suspected),"total number of confirmed cases  
 of guinean nationality","total number of confirmed cases  
 of sierra leonean nationality",total number of confirmed cases of guinean nationality,total number of confirmed cases of sierra leonean nationality,total case/s (confirmed),total confirmed cases,total contacts listed,total death/s in confirmed cases,"total death/s in confirmed,  
 probable, suspected cases","total death/s in confirmed,  probable, suspected cases","total death/s in confirmed, probable, suspected cases",total death/s in probable cases,total death/s in suspected cases,total discharges,"total no. currently in treatment  
 units",total no. currently in treatment units,total probable cases,total specimens tested,total suspected cases
gbarpolu county,2014-09-04,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
grand bassa,2014-09-04,,,0.0,0.0,,0.0,,,,0.0,3.0,,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,13.0,61.0,13.0,,,19.0,3.0,3.0,0.0,,0.0,12.0,0.0,21.0
grand cape mount,2014-09-04,,,0.0,41.0,,0.0,,,,0.0,3.0,,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,2.0,,4.0,41.0,4.0,,,11.0,3.0,4.0,0.0,,0.0,5.0,0.0,3.0
grand gedeh,2014-09-04,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,3.0
lofa county,2014-09-04,,,0.0,178.0,,8.0,,,,69.0,20.0,,17.0,178.0,12.0,0.0,12.0,11.0,0.0,0.0,0.0,7.0,0.0,7.0,,,,,0.0,11.0,,249.0,760.0,151.0,,,334.0,149.0,34.0,2.0,,69.0,357.0,0.0,53.0
margibi county,2014-09-04,,,0.0,889.0,,56.0,,,,0.0,32.0,,19.0,889.0,5.0,4.0,0.0,0.0,0.0,0.0,29.0,3.0,0.0,0.0,,,,,0.0,0.0,,30.0,980.0,25.0,,,114.0,50.0,39.0,0.0,,0.0,94.0,0.0,130.0
montserrado county,2014-09-04,,,12.0,1599.0,,90.0,,,,205.0,64.0,,30.0,1670.0,5.0,5.0,12.0,1.0,3.0,0.0,101.0,22.0,0.0,0.0,,,,,1.0,0.0,,226.0,3290.0,193.0,,,473.0,134.0,146.0,6.0,,205.0,314.0,0.0,55.0
nimba county,2014-09-04,,,0.0,198.0,,0.0,,,,0.0,3.0,,0.0,198.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,,,,,0.0,0.0,,41.0,382.0,28.0,,,77.0,37.0,12.0,0.0,,0.0,52.0,0.0,24.0
river gee county,2014-09-04,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,9.0,0.0,,,5.0,0.0,5.0,0.0,,0.0,3.0,0.0,6.0
rivercess county,2014-09-04,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,6.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-09-04,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
bomi county,2014-09-05,,,2.0,90.0,,54.0,,,,0.0,5.0,,5.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,,,,3.0,0.0,,33.0,146.0,27.0,,,41.0,14.0,0.0,0.0,,0.0,30.0,0.0,4.0
bong county,2014-09-05,,,0.0,322.0,,58.0,,,,0.0,26.0,,5.0,322.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,,,,,0.0,0.0,,24.0,504.0,11.0,,,44.0,13.0,20.0,0.0,,0.0,41.0,0.0,87.0
gbarpolu county,2014-09-05,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
grand bassa,2014-09-05,,,0.0,0.0,,0.0,,,,0.0,3.0,,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,13.0,61.0,13.0,,,19.0,3.0,3.0,0.0,,0.0,12.0,0.0,21.0
grand cape mount,2014-09-05,,,0.0,41.0,,0.0,,,,0.0,3.0,,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2.0,,4.0,41.0,4.0,,,11.0,3.0,4.0,0.0,,0.0,5.0,0.0,3.0
grand gedeh,2014-09-05,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,3.0
lofa county,2014-09-05,,,0.0,176.0,,0.0,,,,62.0,20.0,,17.0,176.0,8.0,0.0,8.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,,,,,0.0,11.0,,249.0,266.0,155.0,,,341.0,151.0,35.0,10.0,,62.0,365.0,0.0,53.0
margibi county,2014-09-05,,,0.0,880.0,,0.0,,,,0.0,32.0,,19.0,880.0,16.0,5.0,0.0,0.0,0.0,0.0,47.0,7.0,0.0,0.0,,,,,0.0,0.0,,30.0,1027.0,25.0,,,120.0,53.0,42.0,0.0,,0.0,110.0,0.0,135.0
montserrado county,2014-09-05,,,0.0,1660.0,,37.0,,,,208.0,65.0,,31.0,1707.0,6.0,11.0,32.0,0.0,1.0,1.0,75.0,30.0,1.0,0.0,,,,,1.0,0.0,,226.0,3392.0,215.0,,,503.0,134.0,154.0,11.0,,208.0,320.0,0.0,66.0
nimba county,2014-09-05,,,0.0,198.0,,0.0,,,,0.0,3.0,,0.0,198.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,,,,,0.0,0.0,,41.0,382.0,30.0,,,82.0,40.0,12.0,0.0,,0.0,56.0,0.0,24.0
river gee county,2014-09-05,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,9.0,0.0,,,5.0,0.0,5.0,0.0,,0.0,3.0,0.0,6.0
rivercess county,2014-09-05,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,6.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-09-05,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0
bomi county,2014-09-06,,,0.0,36.0,,0.0,,,,0.0,5.0,,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,3.0,0.0,,33.0,146.0,27.0,,,41.0,14.0,0.0,0.0,,0.0,30.0,0.0,4.0
bong county,2014-09-06,,,0.0,274.0,,0.0,,,,0.0,26.0,,5.0,274.0,0.0,1.0,0.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,,,,,0.0,0.0,,28.0,514.0,11.0,,,46.0,13.0,22.0,0.0,,0.0,41.0,0.0,88.0
gbarpolu county,2014-09-06,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
grand bassa,2014-09-06,,,0.0,0.0,,0.0,,,,0.0,3.0,,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,13.0,61.0,13.0,,,19.0,3.0,3.0,0.0,,0.0,12.0,0.0,21.0
grand cape mount,2014-09-06,,,0.0,41.0,,0.0,,,,0.0,3.0,,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,2.0,,4.0,41.0,4.0,,,12.0,3.0,5.0,0.0,,0.0,5.0,0.0,4.0
grand gedeh,2014-09-06,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,3.0
lofa county,2014-09-06,,,0.0,182.0,,80.0,,,,58.0,20.0,,17.0,182.0,4.0,0.0,4.0,2.0,0.0,0.0,6.0,7.0,13.0,13.0,,,,,0.0,11.0,,251.0,272.0,159.0,,,348.0,154.0,35.0,4.0,,58.0,369.0,14.0,53.0
margibi county,2014-09-06,,,0.0,934.0,,11.0,,,,0.0,32.0,,19.0,934.0,14.0,24.0,0.0,0.0,0.0,0.0,54.0,15.0,26.0,20.0,,,,,0.0,0.0,,30.0,1081.0,29.0,,,135.0,56.0,50.0,0.0,,0.0,124.0,6.0,159.0
montserrado county,2014-09-06,,,1.0,1702.0,,104.0,,,,216.0,68.0,,31.0,1757.0,7.0,13.0,40.0,0.0,3.0,0.0,132.0,19.0,0.0,0.0,,,,,1.0,0.0,,226.0,3526.0,229.0,,,522.0,134.0,159.0,28.0,,216.0,327.0,0.0,79.0
nimba county,2014-09-06,,,0.0,198.0,,0.0,,,,0.0,3.0,,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,41.0,382.0,30.0,,,82.0,40.0,12.0,0.0,,0.0,56.0,0.0,24.0
river gee county,2014-09-06,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,,0.0,9.0,0.0,,,5.0,0.0,5.0,0.0,,0.0,3.0,0.0,6.0
rivercess county,2014-09-06,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,6.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-09-06,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
bomi county,2014-09-07,,,2.0,42.0,,0.0,,,,0.0,5.0,,5.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,7.0,7.0,,,,,3.0,0.0,,33.0,146.0,27.0,,,45.0,18.0,0.0,0.0,,0.0,34.0,0.0,4.0
bong county,2014-09-07,,,0.0,274.0,,0.0,,,,0.0,26.0,,5.0,274.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,36.0,514.0,11.0,,,46.0,13.0,22.0,0.0,,0.0,41.0,0.0,88.0
gbarpolu county,2014-09-07,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
grand bassa,2014-09-07,,,0.0,0.0,,0.0,,,,0.0,3.0,,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,13.0,61.0,13.0,,,19.0,3.0,3.0,0.0,,0.0,12.0,0.0,21.0
grand cape mount,2014-09-07,,,0.0,41.0,,0.0,,,,0.0,3.0,,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2.0,,4.0,41.0,4.0,,,12.0,3.0,5.0,0.0,,0.0,5.0,0.0,4.0
grand gedeh,2014-09-07,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,3.0
lofa county,2014-09-07,,,0.0,161.0,,5.0,,,,51.0,20.0,,17.0,161.0,0.0,0.0,5.0,3.0,0.0,0.0,59.0,3.0,0.0,0.0,,,,,0.0,11.0,,254.0,331.0,162.0,,,351.0,154.0,35.0,9.0,,51.0,369.0,0.0,53.0
margibi county,2014-09-07,,,0.0,923.0,,0.0,,,,0.0,34.0,,19.0,923.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,,,,,0.0,0.0,,33.0,1081.0,29.0,,,141.0,59.0,53.0,0.0,,0.0,127.0,0.0,160.0
montserrado county,2014-09-07,,,0.0,1708.0,,13.0,,,,162.0,69.0,,31.0,1759.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,,,,,1.0,0.0,,226.0,3526.0,232.0,,,528.0,134.0,162.0,0.0,,162.0,327.0,0.0,84.0
nimba county,2014-09-07,,,0.0,246.0,,0.0,,,,0.0,3.0,,0.0,246.0,2.0,0.0,0.0,6.0,0.0,0.0,48.0,3.0,0.0,0.0,,,,,0.0,0.0,,47.0,430.0,31.0,,,85.0,42.0,12.0,0.0,,0.0,58.0,0.0,24.0
river gee county,2014-09-07,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,9.0,0.0,,,5.0,0.0,5.0,0.0,,0.0,3.0,0.0,6.0
rivercess county,2014-09-07,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,6.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-09-07,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0
bomi county,2014-09-08,,,2.0,102.0,,0.0,,,,0.0,5.0,,5.0,102.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,,,,,,,3.0,0.0,,33.0,206.0,27.0,,,47.0,20.0,0.0,0.0,,0.0,37.0,,4.0
bong county,2014-09-08,,,0.0,274.0,,0.0,,,,0.0,26.0,,5.0,274.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,44.0,514.0,11.0,,,46.0,13.0,22.0,0.0,,0.0,41.0,,88.0
gbarpolu county,2014-09-08,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0
grand bassa,2014-09-08,,,0.0,0.0,,0.0,,,,0.0,3.0,,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,13.0,61.0,13.0,,,19.0,3.0,3.0,0.0,,0.0,12.0,,21.0
grand cape mount,2014-09-08,,,0.0,41.0,,0.0,,,,0.0,3.0,,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,2.0,,4.0,41.0,4.0,,,12.0,3.0,5.0,0.0,,0.0,5.0,,5.0
grand gedeh,2014-09-08,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,,3.0
lofa county,2014-09-08,,,0.0,162.0,,26.0,,,,47.0,20.0,,17.0,162.0,1.0,0.0,1.0,4.0,0.0,0.0,6.0,7.0,,,,,,,0.0,11.0,,258.0,337.0,165.0,,,358.0,158.0,35.0,2.0,,47.0,370.0,,53.0
margibi county,2014-09-08,,,0.0,1010.0,,0.0,,,,0.0,35.0,,19.0,1010.0,14.0,4.0,0.0,0.0,1.0,0.0,87.0,6.0,,,,,,,0.0,0.0,,33.0,1168.0,30.0,,,148.0,64.0,54.0,0.0,,0.0,141.0,,164.0
maryland county,2014-09-08,,,0.0,6.0,,0.0,,,,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,6.0,0.0,,,4.0,4.0,0.0,0.0,,0.0,5.0,,1.0
montserrado county,2014-09-08,,,0.0,1767.0,,123.0,,,,232.0,69.0,,31.0,1882.0,6.0,24.0,25.0,0.0,0.0,0.0,230.0,31.0,,,,,,,1.0,0.0,,266.0,3791.0,249.0,,,484.0,134.0,101.0,9.0,,232.0,333.0,,108.0
nimba county,2014-09-08,,,0.0,298.0,,0.0,,,,0.0,3.0,,0.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,,,,,,,0.0,0.0,,47.0,482.0,31.0,,,86.0,43.0,12.0,0.0,,0.0,58.0,,24.0
river gee county,2014-09-08,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,9.0,0.0,,,5.0,0.0,5.0,0.0,,0.0,3.0,,6.0
rivercess county,2014-09-08,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,1.0,6.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0
sinoe county,2014-09-08,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0
bomi county,2014-09-10,,,0.0,164.0,,0.0,,,,0.0,5.0,,5.0,164.0,3.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,5.0,5.0,,,,,3.0,0.0,,33.0,272.0,27.0,,,49.0,22.0,0.0,0.0,,0.0,40.0,0.0,4.0
bong county,2014-09-10,,,3.0,190.0,,85.0,,,,0.0,26.0,,6.0,284.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,,,,,0.0,0.0,,44.0,524.0,12.0,,,49.0,14.0,23.0,0.0,,0.0,42.0,0.0,93.0
gbarpolu county,2014-09-10,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
grand bassa,2014-09-10,,,0.0,0.0,,0.0,,,,0.0,3.0,,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,13.0,61.0,13.0,,,19.0,3.0,3.0,0.0,,0.0,12.0,0.0,21.0
grand cape mount,2014-09-10,,,0.0,69.0,,0.0,,,,0.0,3.0,,0.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,2.0,,6.0,69.0,6.0,,,14.0,3.0,5.0,0.0,,0.0,5.0,11.0,5.0
grand gedeh,2014-09-10,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,3.0
lofa county,2014-09-10,,,0.0,129.0,,34.0,,,,49.0,20.0,,17.0,129.0,5.0,0.0,5.0,1.0,0.0,0.0,27.0,5.0,0.0,0.0,,,,,0.0,11.0,,260.0,391.0,167.0,,,368.0,166.0,35.0,2.0,,49.0,379.0,21.0,53.0
margibi county,2014-09-10,,,0.0,1084.0,,147.0,,,,0.0,36.0,,19.0,937.0,10.0,9.0,0.0,0.0,0.0,0.0,51.0,12.0,0.0,14.0,,,,,0.0,1.0,,33.0,1242.0,34.0,,,162.0,72.0,56.0,0.0,,0.0,178.0,0.0,180.0
maryland county,2014-09-10,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,6.0,0.0,,,4.0,4.0,0.0,0.0,,0.0,5.0,0.0,1.0
montserrado county,2014-09-10,,,0.0,1572.0,,21.0,,,,0.0,70.0,,32.0,1601.0,10.0,18.0,0.0,0.0,1.0,1.0,38.0,22.0,0.0,0.0,,,,,1.0,0.0,,352.0,3998.0,271.0,,,532.0,141.0,120.0,0.0,,0.0,353.0,0.0,144.0
nimba county,2014-09-10,,,0.0,303.0,,18.0,,,,0.0,6.0,,2.0,303.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,5.0,,,,,0.0,0.0,,47.0,487.0,32.0,,,90.0,46.0,12.0,0.0,,0.0,61.0,0.0,26.0
river gee county,2014-09-10,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,9.0,0.0,,,5.0,0.0,5.0,0.0,,0.0,3.0,0.0,6.0
rivercess county,2014-09-10,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,6.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-09-10,,,0.0,16.0,,16.0,,,,0.0,0.0,,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,16.0,1.0,,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0
bomi county,2014-09-11,,,2.0,224.0,,54.0,,,,0.0,5.0,,5.0,224.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,2.0,5.0,5.0,,,,,3.0,0.0,,33.0,332.0,27.0,,,51.0,24.0,0.0,0.0,,0.0,43.0,0.0,5.0
bong county,2014-09-11,,,0.0,190.0,,0.0,,,,0.0,26.0,,6.0,209.0,4.0,11.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,,,,,0.0,0.0,,44.0,534.0,12.0,,,56.0,14.0,30.0,0.0,,0.0,46.0,0.0,104.0
gbarpolu county,2014-09-11,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0
grand bassa,2014-09-11,,,0.0,0.0,,0.0,,,,0.0,3.0,,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,13.0,61.0,13.0,,,19.0,3.0,3.0,0.0,,0.0,12.0,0.0,21.0
grand cape mount,2014-09-11,,,0.0,80.0,,0.0,,,,0.0,3.0,,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,,,,,0.0,2.0,,6.0,80.0,6.0,,,14.0,3.0,5.0,0.0,,0.0,5.0,0.0,5.0
grand gedeh,2014-09-11,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,3.0
lofa county,2014-09-11,,,0.0,95.0,,24.0,,,,30.0,20.0,,17.0,95.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,11.0,11.0,,,,,0.0,11.0,,260.0,391.0,169.0,,,371.0,166.0,36.0,7.0,,30.0,386.0,7.0,53.0
margibi county,2014-09-11,,,0.0,982.0,,0.0,,,,0.0,37.0,,19.0,982.0,11.0,8.0,0.0,0.0,1.0,0.0,45.0,8.0,0.0,0.0,,,,,0.0,1.0,,33.0,1287.0,34.0,,,170.0,78.0,58.0,0.0,,0.0,189.0,0.0,188.0
maryland county,2014-09-11,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,6.0,0.0,,,4.0,4.0,0.0,0.0,,0.0,5.0,0.0,1.0
montserrado county,2014-09-11,,,1.0,1816.0,,26.0,,,,200.0,70.0,,32.0,1816.0,36.0,32.0,52.0,0.0,0.0,0.0,236.0,32.0,0.0,0.0,,,,,1.0,0.0,,352.0,4234.0,290.0,,,564.0,144.0,130.0,18.0,,200.0,389.0,0.0,176.0
nimba county,2014-09-11,,,0.0,342.0,,0.0,,,,0.0,6.0,,0.0,342.0,6.0,1.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0,0.0,,,,,0.0,0.0,,47.0,544.0,32.0,,,91.0,47.0,12.0,0.0,,0.0,67.0,0.0,27.0
river gee county,2014-09-11,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,9.0,0.0,,,5.0,0.0,5.0,0.0,,0.0,3.0,0.0,6.0
rivercess county,2014-09-11,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,6.0,0.0,,,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
