date,region,cumulative (confirmed + probable + suspects),fatality rate for confirmed and probables,new admits to cte so far,new cases of confirmed,new cases of confirmed among health workers,new cases of probables,new cases of suspects,new contacts registered so far,new deaths registered,new deaths registered among health workers,new deaths registered today,new deaths registered today (confirmed),new deaths registered today (probables),new deaths registered today (suspects),number of confirmed cases among health workers,number of contacts followed today,number of contacts followed yesterday,number of contacts lost to follow up,number of contacts out of the track 21 days,number of contacts out of track,number of contacts to follow today,number of death of confirmed cases among health workers,number of deaths of confirmed cases among health workers,number of deaths of probables cases among health workers,number of female confirmed cases,number of female probables cases,number of female suspects cases,number of male confirmed cases,number of male probables cases,number of male suspects cases,number of patients tested,number of probables cases among health workers,number of samples collected,number of samples collected today,number of samples under test,number of suspects cases among health workers,total pec center today,total pec center today (confirmed),total pec center today (probables),total pec center today (suspects),total case of confirmed among health workers,total cases of confirmed,total cases of probables,total cases of suspects,total contacts registered from start date,total deaths (confirmed + probables + suspects),total deaths of confirmed,total deaths of probables,total deaths of suspects,total deaths registered among health workers,total new cases registered so far,total number of admissions to cte,total number of exits from cte,total number of female cases,total number of hospitalized cases in cte,total number of male cases,total of cured in confirmed cases in cte,total of deaths in confirmed cases in cte,total samples tested,total suspected non-class cases
2014-08-30,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,kissidougou,7,8.6e-07,0,,0,,,0,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,0,159,6,1,5,0,0,0,0,0,,0,,,,,7
2014-08-30,kouroussa,4,1e-06,0,,0,,,0,,0,,,,,,8,,0,141,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-08-30,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,macenta,142,5.6e-07,0,4,0,,12,0,2,0,,,,,,293,,64,434,,357,,,,,,,,,,,,,0,0,,,,,,8,117,11,14,680,80,69,11,0,6,16,0,0,,0,,,,0,74
2014-08-30,nzerekore,11,5.500000000000001e-07,0,,0,,,13,,0,,,,,,77,,2,0,,79,,,,,,,,,,,,,,,,,,,,1,10,1,0,195,6,5,1,0,1,0,0,0,,0,,,,,7
2014-08-30,pita,6,6.7e-07,0,,0,,,0,,0,,,,,,92,,5,116,,97,,,,,,,,,,,,,,,,,,,,0,5,1,0,137,4,3,1,0,0,0,0,0,,0,,,,,10
2014-08-30,siguiri,6,5e-07,0,,0,,,0,,0,,,,,,0,,0,40,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,8
2014-08-30,telimele,26,3.8e-07,0,,0,,,0,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-08-30,totals,707,6.6e-07,9,9,0,0,15,21,5,0,,,,,,1173,,76,6504,,1251,,,,,,,,,,,,,41,0,,,,,,50,533,142,32,7734,468,324,142,2,26,24,1094,33,,82,,,,1858,560
2014-08-30,yomou,11,2.7e-07,0,,0,,1,0,,0,,,,,,35,,2,0,,37,,,,,,,,,,,,,,,,,,,,1,10,0,1,42,3,3,0,0,1,1,0,0,,0,,,,,3
2014-09-02,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,boffa,25,6.4e-07,,,0,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,1,397,16,11,5,0,0,0,0,0,,0,,,,,19
2014-09-02,conakry,133,4.2e-07,6,,0,,,,,0,,,,,,332,,0,1727,,337,,,,,,,,,,,,,12,0,,,,,,24,110,8,15,1986,56,46,8,2,11,0,368,2,,38,,,,843,228
2014-09-02,coyah,3,0.0,,,0,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,3,0,0,0,0,0,0,0,0,3,0,0,,0,,,,,0
2014-09-02,dabola,4,1e-06,,,0,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,1
2014-09-02,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,dinguiraye,1,1e-06,,,0,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-02,dubreka,21,1.4e-07,,,0,,,,,0,,,,,,154,,3,0,,157,,,,,,,,,,,,,,,,,,,,4,20,0,1,157,3,3,0,0,0,1,0,0,,0,,,,,4
2014-09-02,forecariah,7,4.3e-07,,,0,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,5,0,2,71,3,3,0,0,0,0,0,0,,0,,,,,7
2014-09-02,gueckedou,334,8.5e-07,23,4,0,,5,,2,0,,,,,,259,,0,3116,,259,,,,,,,,,,,,,19,0,,,,,,8,219,110,5,3497,283,173,110,0,6,9,722,22,,67,,,,1175,244
2014-09-02,kerouane,14,0.0,,,0,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,9,0,5,0,0,0,0,0,0,0,0,0,,0,,,,,0
2014-09-02,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,kissidougou,7,8.6e-07,,,0,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,5,0,159,6,1,5,0,0,0,0,0,,0,,,,,7
2014-09-02,kouroussa,4,1e-06,,,0,,,,,0,,,,,,48,,0,46,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,1
2014-09-02,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,macenta,174,5.699999999999999e-07,,6,0,,6,,3,0,,,,,,645,,64,434,,829,,,,,,,,,,,,,0,0,,,,,,8,146,11,17,970,99,88,11,0,6,12,0,0,,0,,,,0,85
2014-09-02,mzerekore,11,5.500000000000001e-07,,,0,,,,,0,,,,,,79,,2,116,,80,,,,,,,,,,,,,,,,,,,,1,10,1,0,196,6,5,1,0,1,0,0,0,,0,,,,,7
2014-09-02,pita,9,3.3e-07,,,0,,,,,0,,,,,,92,,5,40,,97,,,,,,,,,,,,,,,,,,,,0,6,1,2,137,3,2,1,0,0,0,0,0,,0,,,,,10
2014-09-02,siguiri,6,5e-07,,,0,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,8
2014-09-02,telimele,26,3.8e-07,,,0,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-02,totals,790,6.3e-07,29,14,0,0,11,0,5,0,,,,,,1641,,76,6504,,1842,,,,,,,,,,,,,31,0,,,,,,50,591,150,49,8189,501,349,150,2,26,25,1144,24,,105,,,,2018,642
2014-09-02,yomou,11,3.6e-07,,,0,,,,,0,,,,,,32,,2,0,,35,,,,,,,,,,,,,,,,,,,,1,10,0,1,56,4,4,0,0,1,0,0,0,,0,,,,,3
2014-08-26,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,boffa,24,6.7e-07,0,,0,,,0,0,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,34,11,5,0,0,,0,0,,0,,,,,18
2014-08-26,conakry,114,4.2e-07,3,,0,,,53,0,0,,,,,,260,,0,1725,,266,,,,,,,,,,,,,9,0,,,,,,22,98,8,8,1925,243,38,8,2,11,,307,2,,27,,,,723,195
2014-08-26,coyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,dabola,4,1e-06,0,,0,,,0,0,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,5,1,3,0,0,,0,0,,0,,,,,1
2014-08-26,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,dinguiraye,1,1e-06,0,,0,,,0,0,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,,0,0,,0,,,,,0
2014-08-26,dubreka,8,1.3e-07,0,1,0,,,0,0,0,,,,,,114,,0,0,,114,,,,,,,,,,,,,,,,,,,,1,8,0,0,116,3,1,0,0,0,1,0,0,,0,,,,,2
2014-08-26,forecariah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,gueckedou,312,8.6e-07,19,1,0,,1,0,0,0,,,,,,222,,1,3058,,223,,,,,,,,,,,,,46,0,,,,,,7,207,101,4,3332,459,166,101,0,5,2,638,4,,60,,,,977,192
2014-08-26,kerouane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,kissidougou,6,8.3e-07,0,,0,,,0,0,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,2,4,0,159,13,1,4,0,0,,0,0,,0,,,,,8
2014-08-26,kouroussa,4,1e-06,0,,0,,,0,0,0,,,,,,48,,0,46,,48,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,5,2,2,0,0,,0,0,,0,,,,,1
2014-08-26,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,macenta,124,5.100000000000001e-07,0,5,0,,12,81,2,0,,,,,,246,,0,434,,246,,,,,,,,,,,,,0,0,,,,,,9,99,12,13,680,128,51,12,0,7,17,0,0,,0,,,,0,63
2014-08-26,mzerekore,12,5e-07,0,,0,,1,3,0,0,,,,,,53,,1,110,,54,,,,,,,,,,,,,,,,,,,,1,10,1,1,170,12,5,1,0,1,1,0,0,,0,,,,,6
2014-08-26,pita,6,5e-07,0,,0,,,0,0,0,,,,,,92,,5,40,,97,,,,,,,,,,,,,,,,,,,,0,5,1,0,137,10,2,1,0,0,,0,0,,0,,,,,7
2014-08-26,siguiri,6,5e-07,0,,0,,,0,0,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,10,3,0,0,0,,13,0,,0,,,,,7
2014-08-26,telimele,26,3.8e-07,0,,0,,,0,0,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,28,7,3,0,1,,41,0,,0,,,,,18
2014-08-26,totals,661,6.6e-07,22,10,0,,18,137,5,0,,,,,,1070,,9,6438,,1085,,,,,,,,,,,,,55,0,,,,,,45,490,141,30,7521,958,292,141,2,26,28,997,6,,87,,,,1700,518
2014-08-26,yomou,14,2.9e-07,0,3,0,,4,0,3,0,,,,,,35,,2,0,,37,,,,,,,,,,,,,,,,,,,,1,10,0,4,42,7,4,0,0,1,7,0,0,,0,,,,,0
2014-08-04,boffa,23.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,397.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,10.0,3.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,18.0,5.0,0.0,397.0,16.0,11.0,5.0,0.0,,0.0,,,10.0,,13.0,7.0,6.0,,
2014-08-04,conakry,95.0,,,1.0,,0.0,5.0,,,,0.0,0.0,0.0,0.0,16.0,,331.0,,,1242.0,350.0,0.0,10.0,1.0,30.0,4.0,4.0,48.0,4.0,5.0,,1.0,,,,0.0,21.0,10.0,0.0,11.0,,78.0,8.0,9.0,1592.0,42.0,32.0,8.0,2.0,,6.0,,,38.0,,57.0,34.0,20.0,,
2014-08-04,dabola,4.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,69.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,0.0,69.0,4.0,1.0,3.0,0.0,,0.0,,,2.0,,2.0,0.0,0.0,,
2014-08-04,dinguiraye,1.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,,1.0,,0.0,0.0,0.0,,
2014-08-04,dubreka,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,
2014-08-04,gueckedou,285.0,,,3.0,,0.0,0.0,,,,2.0,2.0,0.0,0.0,3.0,,200.0,,,2848.0,201.0,0.0,1.0,4.0,116.0,61.0,2.0,72.0,34.0,0.0,,4.0,,,,0.0,8.0,6.0,0.0,2.0,,188.0,95.0,2.0,3049.0,247.0,152.0,95.0,0.0,,3.0,,,179.0,,106.0,30.0,95.0,,
2014-08-04,kissidougou,6.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,159.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,4.0,0.0,158.0,5.0,1.0,4.0,0.0,,0.0,,,4.0,,2.0,1.0,1.0,,
2014-08-04,kouroussa,4.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,37.0,,,16.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,53.0,3.0,1.0,2.0,0.0,,0.0,,,1.0,,3.0,0.0,0.0,,
2014-08-04,macenta,39.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,44.0,,,384.0,46.0,0.0,1.0,2.0,14.0,6.0,0.0,14.0,5.0,0.0,,2.0,,,,0.0,0.0,0.0,0.0,0.0,,28.0,11.0,0.0,430.0,29.0,18.0,11.0,0.0,,0.0,,,20.0,,19.0,8.0,10.0,,
2014-08-04,nzerekore,4.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,69.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,69.0,1.0,1.0,0.0,0.0,,0.0,,,2.0,,2.0,0.0,0.0,,
2014-08-04,pita,2.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,26.0,,,15.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,41.0,2.0,1.0,1.0,0.0,,0.0,,,1.0,,1.0,0.0,0.0,,
2014-08-04,siguiri,6.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,,134.0,,,6.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,,0.0,,,,2.0,2.0,2.0,0.0,0.0,,6.0,0.0,0.0,141.0,3.0,3.0,0.0,0.0,,0.0,,,0.0,,8.0,0.0,2.0,,
2014-08-04,telimele,26.0,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,,0.0,,,259.0,0.0,0.0,0.0,1.0,17.0,2.0,0.0,6.0,1.0,0.0,,1.0,,,,0.0,0.0,0.0,0.0,0.0,,23.0,3.0,0.0,259.0,10.0,7.0,3.0,0.0,,0.0,,,19.0,,7.0,9.0,5.0,,
2014-08-04,totals,495.0,,,4.0,,0.0,5.0,,,,2.0,2.0,0.0,0.0,21.0,,772.0,,,5513.0,795.0,0.0,12.0,8.0,190.0,81.0,6.0,161.0,52.0,7.0,785.0,8.0,1235.0,,,4.0,31.0,18.0,0.0,13.0,,351.0,133.0,11.0,6309.0,363.0,228.0,133.0,2.0,,9.0,,,277.0,,220.0,89.0,138.0,,
2014-10-01,beyla,2,1e-06,,,,,,,,0,,,,,,29,,0,0,,929,,,,,,,,,,,,,,,,,,,,0,2,0,0,2,0,1,0,0,0,0,0,0,,0,,,,,0
2014-10-01,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-10-01,conakry,199,3.8999999999999997e-07,15,2,2,,15,,,0,,,,,,778,,0,2494,,825,,,,,,,,,,,,,16,0,,,,,,40,170,10,19,3319,78,68,10,0,18,17,571,9,,48,,,,1171,355
2014-10-01,coyah,12,4.2e-07,,,,,,,,0,,,,,,98,,1,17,,98,,,,,,,,,,,,,,,,,,,,1,12,0,0,116,5,5,0,0,0,0,0,0,,0,,,,,6
2014-10-01,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-10-01,dalaba,6,0.0,,,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,6,0,0,34,0,0,0,0,0,0,0,0,,0,,,,,1
2014-10-01,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-10-01,dubreka,21,3.3e-07,,,,,,,,0,,,,,,49,,0,292,,49,,,,,,,,,,,,,,,,,,,,3,21,0,0,341,7,7,0,0,1,0,0,0,,0,,,,,20
2014-10-01,forecariah,16,5.6e-07,,,,,,,,0,,,,,,146,,0,61,,151,,,,,,,,,,,,,,,,,,,,0,11,2,3,212,9,7,2,0,0,0,0,0,,0,,,,,13
2014-10-01,gueckedou,362,8.3e-07,10,1,,,,,,0,,,,,,117,,0,3699,,117,,,,,,,,,,,,,9,0,,,,,,9,248,112,2,3816,301,189,112,0,6,1,924,5,,54,,,,1661,268
2014-10-01,kerouane,24,2.1e-07,,1,,,,,,0,,,,,,194,,0,480,,194,,,,,,,,,,,,,,,,,,,,0,24,0,0,674,5,5,0,0,0,1,0,0,,0,,,,,9
2014-10-01,kindia,1,0.0,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,4
2014-10-01,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-10-01,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,2
2014-10-01,lola,11,1e-06,,,,,9,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,2,0,9,0,0,2,0,0,0,9,,,,,,,,,4
2014-10-01,macenta,403,6.099999999999999e-07,,2,,,3,,15,0,,,,,,1038,,0,525,,1038,,,,,,,,,,,,,0,0,,,,,,9,378,16,9,1563,246,230,16,0,7,5,27,15,,12,,,,0,197
2014-10-01,nzerekore,50,6.4e-07,,,,,1,,,0,,,,,,126,,0,227,,126,,,,,,,,,,,,,,,,,,,,2,31,17,2,353,32,15,17,0,1,1,0,0,,0,,,,,16
2014-10-01,pita,8,3.8e-07,,,,,,,,0,,,,,,0,,0,140,,0,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,18
2014-10-01,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,9
2014-10-01,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-10-01,totals,1199,6.2e-07,25,6,2,0,28,0,15,0,,,,,,2595,,1,9110,,2661,,,,,,,,,,,,,25,0,,,,,,69,977,177,45,11772,739,562,177,0,35,34,1576,29,,114,,,,2832,974
2014-10-01,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,0,,0,56,,0,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-09-19,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,boffa,24,6.7e-07,,,,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,0,397,16,11,5,0,0,0,0,0,,0,,,,,20
2014-09-19,conakry,147,4.6e-07,4,1,,,2,110,,0,,,,,,681,,0,2144,,711,,,,,,,,,,,,,12,0,,,,,,38,131,8,8,2855,68,58,8,2,18,3,452,2,,19,,,,1033,299
2014-09-19,coyah,7,7.099999999999999e-07,,,,,,,,0,,,,,,80,,0,28,,88,,,,,,,,,,,,,,,,,,,,1,7,0,0,116,5,5,0,0,0,0,0,0,,0,,,,,4
2014-09-19,dabola,4,1e-06,,,,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,0,1,3,0,69,4,1,3,0,0,0,0,0,,0,,,,,3
2014-09-19,dalaba,2,0.0,,,,,,,,0,,,,,,20,,0,0,,34,,,,,,,,,,,,,,,,,,,,0,2,0,0,34,0,0,0,0,0,0,0,0,,0,,,,,1
2014-09-19,dinguiraye,1,1e-06,,,,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-19,dubreka,22,3.2e-07,,,,,,,,0,,,,,,69,,0,272,,69,,,,,,,,,,,,,,,,,,,,3,21,0,1,341,7,7,0,0,1,0,0,0,,0,,,,,19
2014-09-19,forecariah,10,7e-07,,,,,,,,0,,,,,,74,,0,61,,84,,,,,,,,,,,,,,,,,,,,0,9,0,1,145,7,7,0,0,0,0,0,0,,0,,,,,12
2014-09-19,gueckedou,352,8.4e-07,1,,,1,1,,,0,,,,,,236,,0,3504,,246,,,,,,,,,,,,,12,0,,,,,,9,236,111,5,3750,295,183,111,1,6,2,842,15,,35,,,,1472,259
2014-09-19,kerouane,22,1.8e-07,,,,,,,1,0,,,,,,137,,0,71,,137,,,,,,,,,,,,,,,,,,,,0,22,0,0,208,4,4,0,0,0,0,0,0,,0,,,,,9
2014-09-19,kindia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,kissidougou,8,8.800000000000002e-07,,,,,,,,0,,,,,,0,,0,159,,0,,,,,,,,,,,,,,,,,,,,0,3,5,0,159,7,2,5,0,0,0,0,0,,0,,,,,7
2014-09-19,kouroussa,4,1e-06,,,,,,,,0,,,,,,0,,0,94,,0,,,,,,,,,,,,,,,,,,,,0,2,2,0,94,4,2,2,0,0,0,0,0,,0,,,,,2
2014-09-19,lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-19,macenta,292,5.9e-07,3,11,,,,72,4,0,,,,,,817,,0,539,,818,,,,,,,,,,,,,0,0,,,,,,9,272,12,8,1357,171,157,12,2,7,11,31,0,,28,,,,0,144
2014-09-19,mzerekore,28,7.099999999999999e-07,,,,,,,,0,,,,,,98,,1,162,,99,,,,,,,,,,,,,,,,,,,,1,17,11,0,262,20,9,11,0,1,0,0,0,,0,,,,,10
2014-09-19,pita,8,3.8e-07,,,,,,,,0,,,,,,25,,0,115,,25,,,,,,,,,,,,,,,,,,,,0,6,1,1,140,3,2,1,0,0,0,0,0,,0,,,,,18
2014-09-19,siguiri,6,5e-07,,,,,,,,0,,,,,,0,,0,141,,0,,,,,,,,,,,,,,,,,,,,2,6,0,0,141,3,3,0,0,0,0,13,0,,0,,,,,9
2014-09-19,telimele,26,3.8e-07,,,,,,,,0,,,,,,0,,0,259,,0,,,,,,,,,,,,,,,,,,,,2,23,3,0,259,10,7,3,0,1,0,41,0,,0,,,,,18
2014-09-19,totals,974,6.500000000000001e-07,8,12,0,1,3,182,5,0,,,,,,2267,,1,8036,,2346,,,,,,,,,,,,,24,0,,,,,,66,788,162,24,10383,630,463,162,5,35,16,1379,17,,82,,,,2505,838
2014-09-19,yomou,11,4.5000000000000003e-07,,,,,,,,0,,,,,,30,,0,21,,35,,,,,,,,,,,,,,,,,,,,1,11,0,0,56,5,5,0,0,1,0,0,0,,0,,,,,4
2014-09-04,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,boffa,25,6.4e-07,,,0,,,,,0,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,0,19,5,1,397,16,11,5,0,0,0,0,0,,0,,,,,19
2014-09-04,conakry,140,4.0999999999999994e-07,1,,0,,,12,,0,,,,,,365,,4,1809,,443,,,,,,,,,,,,,7,0,,,,,,24,111,8,21,2256,57,47,8,2,11,0,382,6,,31,,,,860,239
2014-09-04,coyah,4,0.0,,1,0,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,4,0,0,0,0,0,0,0,0,1,0,0,,0,,,,,0
2014-09-04,dabola,4,1e-06,,,0,,,,,0,,,,,,0,,0,69,,0,,,,,,,,,,,,,0,0,,,,,,0,1,3,0,69,4,1,4,0,0,0,0,0,,0,,,,0,3
2014-09-04,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,dinguiraye,1,1e-06,,,0,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,,,,,0
2014-09-04,dubreka,21,1.9e-07,,,,,,,,0,,,,,,154,,0,0,,157,,,,,,,,,,,,,,,,,,,,4,20,0,1,157,4,4,0,0,0,0,0,0,,0,,,,,8
2014-09-04,forecariah,7,5.699999999999999e-07,,,0,,,,,0,,,,,,180,,0,35,,180,,,,,,,,,,,,,,,,,,,,0,5,0,2,215,4,4,0,0,0,0,0,0,,0,,,,,7
2014-09-04,gueckedou,336,8.5e-07,12,4,0,,1,7,1,0,,,,,,244,,1,3296,,247,,,,,,,,,,,,,51,0,,,,,,8,223,110,3,3543,284,174,110,0,6,5,755,9,,72,,,,1226,249
2014-09-04,kerouane,12,0.0,,,0,,,,,0,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,0,10,0,2,0,0,0,0,0,0,0,0,0,,0,,,,,2
