region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
kailahun,2014-09-12,36.6,166,166,0,0,1105,508,1422,257,32,18,186,35,4,462,228,229,64,5,8,0,,4,0,18,,0,,0,,0,,100%,465048,,,
kambia,2014-09-12,33.3,85,85,0,0,12,3,98,4,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-09-12,54.7,640,624,3,13,1830,397,2495,472,0,25,217,0,4,507,187,84,68,20,1,4,,9,1,10,,7,,0,,1,,97%,653013,,,
koinadugu,2014-09-12,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-12,0,111,105,6,0,80,15,191,23,1,39,2,0,1,,,,,,,,,0,0,34,,0,,0,,0,,100%,325003,,,
moyamba,2014-09-12,35.3,55,55,0,0,149,17,206,24,0,3,6,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,278119,,,
port loko,2014-09-12,11.3,1368,1185,3,180,498,142,1626,38,1,5,16,1,1,,,,,,,,,20,10,75,,5,,0,,0,,86%,557978,,,
pujehun,2014-09-12,10,138,137,1,0,195,10,333,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-12,6.7,371,371,0,0,182,30,553,26,0,2,2,0,0,,,,,,,,,12,1,0,,0,,0,,0,,100%,434937,,,
western area rural,2014-09-12,4,212,212,0,0,30,50,242,46,0,4,2,0,0,,,,,,,,,30,1,59,,4,,0,,1,,100%,263619,,,
