region,date,cfr,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,negative_corpse,new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,pending,percent_seen,population,positive_corpse,repeat_samples,total_lab_samples
koinadugu,2014-08-30,0.0,,,,,,0.0,,17.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-08-30,0.0,,,,,,1.0,,18.0,1.0,33.0,0.0,0.0,1.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,325003.0,,,
moyamba,2014-08-30,44.4,,,,,,9.0,,17.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,278119.0,,,
port loko,2014-08-30,2.9,,,,,,70.0,,19.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,8.0,,,2.0,,0.0,,1.0,,,557978.0,,,
pujehun,2014-08-30,14.3,,,,,,7.0,,3.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335574.0,,,
tonkolili,2014-08-30,12.5,,,,,,16.0,,16.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,2.0,,,1.0,,0.0,,0.0,,,434937.0,,,
western area rural,2014-08-30,7.1,,,,,,28.0,,18.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,3.0,,,1.0,,0.0,,0.0,,,263619.0,,,
western area urban,2014-08-30,4.1,,,,,,49.0,,89.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,,,6.0,,,0.0,,0.0,,2.0,,,1040888.0,,,
bo,2014-09-18,20.8,152,151,0,1,529,77,681,86,1,17,16,0,0,,,,,,,,,0,0,0,,0,,0,,5,,100.00%,"654,142",,,
bombali,2014-09-18,4.9,535,514,15,5,263,122,798,40,1,6,6,0,0,,,,,,,,,16,0,33,,1,,0,,0,,98.00%,"494,139",,,
bonthe,2014-09-18,100,57,57,0,0,32,1,89,1,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,"168,729",,,
kailahun,2014-09-18,38.8,166,165,1,0,1120,529,1458,280,32,18,205,35,4,484,240,260,42,8,0,0,,4,0,16,,0,,0,,0,,100.00%,"465,048",,,
kambia,2014-09-18,25,96,96,0,0,12,4,108,5,0,0,1,0,0,,,,,,,,,0,0,23,,0,,0,,0,,100.00%,"341,690",,,
kenema,2014-09-18,55.6,615,615,0,17,2020,412,2618,503,0,26,229,0,4,569,206,107,57,13,6,3,,44,0,0,,3,,0,,1,,97.00%,"653,013",,,
kenema (ifrc),2014-09-18,,,,,,,,,,,,,,,7.0,2.0,0.0,5.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,
koinadugu,2014-09-18,0,,,,,,0,,24,0,0,0,0,0,,,,,,,,,,0,,,0,,0,,0,,,"335,471",,,
kono,2014-09-18,0,137,133,4,0,80,16,217,28,1,39,2,0,1,,,,,,,,,0,1,24,,1,,0,,1,,100.00%,"325,003",,,
moyamba,2014-09-18,25,54,54,0,0,178,24,232,37,0,4,6,0,0,,,,,,,,,0,0,14,,0,,0,,0,,100.00%,"278,119",,,
port loko,2014-09-18,9.1,1532,1415,1,116,258,175,1790,53,1,4,16,1,1,,,,,,,,,0,15,1,,2,,0,,0,,98.00%,"557,978",,,
pujehun,2014-09-18,10,108,108,1,0,225,10,333,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100.00%,"335,574",,,
tonkolili,2014-09-18,4.5,451,451,0,0,197,44,593,33,0,2,2,0,0,,,,,,,,,15,5,0,,1,,0,,0,,100.00%,"434,937",,,
western area rural,2014-09-18,4.9,262,246,0,15,104,61,366,65,0,7,3,0,0,,,,,,,,,0,5,0,,2,,0,,0,,100.00%,"263,619",,,
western area urban,2014-09-18,4.9,447,442,0,5,466,143,913,202,1,11,7,1,1,,,,,,,,,0,7,4,,3,,0,,1,,100.00%,"1,040,888",,,
bo,2014-08-16,20,156,151,1,4,110,24,266,62,1,0,2,0,0,,,,,,,,,41,0,8,,0,,0,,0,,97%,"654,142",,,
bombali,2014-08-16,0,162,162,0,14,26,7,202,11,1,1,1,0,0,,,,,,,,,0,0,10,,0,,0,,0,,100,"494,139",,,
bonthe,2014-08-16,0,0,0,0,0,26,1,26,0,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"168,729",,,
kailahun,2014-08-16,41.6,362,358,4,0,832,401,1145,212,29,0,167,32,2,355,121,151,53,3,5,3,,14,12,19,,6,,0,,0,,99%,"465,048",,,
kambia,2014-08-16,0,13,13,0,0,0,1,13,1,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100,"341,690",,,
kenema,2014-08-16,43.7,579,530,1,49,849,277,1461,314,0,5,121,0,1,282,167,64,40,9,5,4,,31,4,15,,0,,0,,3,,92%,"653,013",,,
koinadugu,2014-08-16,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"335,471",,,
kono,2014-08-16,0,0,0,0,0,38,1,38,16,1,33,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"325,003",,,
moyamba,2014-08-16,0,79,79,0,0,9,6,88,12,0,0,3,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"278,119",,,
port loko,2014-08-16,0,488,488,0,12,7,28,500,11,1,0,1,1,1,,,,,,,,,0,0,17,,0,,0,,0,,100%,"557,978",,,
pujehun,2014-08-16,0,46,46,0,0,11,3,71,2,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"335,574",,,
tonkolili,2014-08-16,0,8,8,0,0,11,2,19,10,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100,"434,937",,,
western area rural,2014-08-16,0,36,36,0,0,0,4,36,8,0,0,0,0,0,,,,,,,,,0,1,0,,1,,0,,0,,100%,"263,619",,,
western area urban,2014-08-16,50,394,394,0,0,102,20,496,67,1,0,2,1,1,,,,,,,,,0,1,3,,2,,0,,0,,100,"1,040,888",,,
bo,2014-08-13,8.7,,111,0,58,,23,169,59,1,1,2,0,0,,,,,,,,,0,1,9,,3,,0,,0,,66%,"654,142",,,
bombali,2014-08-13,14.3,,134,0,12,,7,146,10,1,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,92%,"494,139",,,
bonthe,2014-08-13,0,,0,0,0,,1,0,0,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"168,729",,,
kailahun,2014-08-13,40.4,,354,10,0,,389,366,206,32,0,157,32,2,346,107,140,44,5,3,6,,21,11,Nr,,5,,0,,0,,99%,"465,048",,,
kambia,2014-08-13,0,,0,0,0,,1,0,1,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"341,690",,,
kenema,2014-08-13,41,,409,2,39,,261,448,279,1,3,107,0,1,268,154,60,42,8,3,3,,27,1,30,,2,,1,,2,,,"653,013",,,
koinadugu,2014-08-13,0,,0,0,0,,0,0,15,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"335,471",,,
kono,2014-08-13,0,,0,0,0,,1,0,15,1,33,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,,"325,003",,,
moyamba,2014-08-13,60,,73,0,0,,5,73,12,0,0,3,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"278,119",,,
port loko,2014-08-13,4.2,,449,2,20,,24,471,7,1,0,1,1,1,,,,,,,,,0,0,0,,0,,0,,0,,96%,"557,978",,,
pujehun,2014-08-13,0,,47,0,0,,3,47,2,0,0,0,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,"335,574",,,
tonkolili,2014-08-13,0,,19,0,2,,2,19,10,0,0,0,0,0,,,,,,,,,0,0,8,,0,,0,,0,,100%,"434,937",,,
western area rural,2014-08-13,0,,26,0,0,,1,26,6,0,0,0,0,0,,,,,,,,,0,0,3,,1,,0,,0,,100%,"263,619",,,
western area urban,2014-08-13,13.3,,334,0,0,,15,334,58,1,1,2,1,1,,,,,,,,,20,2,35,,2,,0,,1,,100%,"1,040,888",,,
bo,2014-10-13,42,306,298,0,8,661,127,967,127,1,34,53,43,2,62,20,22,22,3,0,6,,0,2,80,,4,,0,,0,,100%,654142,,,
bombali,2014-10-13,32,1606,1599,6,1,471,388,2077,206,1,57,123,11,18,,,,,,,,,14,0,12,,0,,0,,0,,98%,494139,,,
bonthe,2014-10-13,100,15,15,0,0,90,1,105,1,0,2,1,1,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-13,41,384,382,2,0,1653,536,2037,284,32,18,219,35,4,504,238,172,53,,,,,75,1,7,,0,,0,,0,,100%,465048,,,
kambia,2014-10-13,36,274,274,0,0,138,25,412,10,0,3,9,9,6,,,,,,,,,52,0,0,,0,,0,,0,,100%,341690,,,
kenema,2014-10-13,53,304,298,6,0,2641,454,2945,688,0,48,238,0,4,,,,,,,,,9,7,43,,3,,0,,0,,99%,653013,,,
koinadugu,2014-10-13,0.0,,,,,,0.0,,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-13,59,333,325,8,0,191,31,524,67,1,52,18,19,2,,,,,,,,,0,0,1,,0,,0,,0,,98%,325003,,,
moyamba,2014-10-13,38,301,301,0,0,464,77,765,57,0,22,29,19,6,,,,,,,,,0,0,114,,0,,0,,0,,100%,278119,,,
port loko,2014-10-13,14,3258,3244,4,10,568,405,3826,149,1,20,57,1,49,,,,,,,,,40,0,250,,1,,0,,0,,98%,557978,,,
pujehun,2014-10-13,50,380,380,0,0,469,24,949,6,0,3,12,2,3,,,,,,,,,135,0,270,,0,,0,,0,,100%,335574,,,
tonkolili,2014-10-13,26,1342,1342,0,0,680,129,2022,60,0,24,34,17,3,,,,,,,,,89,2,82,,0,,0,,1,,100%,434937,,,
western area,2014-10-13,41.0,,,,,,697.0,,821.0,1.0,82.0,138.0,4.0,8.0,,,,,,,,,,33.0,,,20.0,,0.0,,1.0,,,1304507.0,,,
western area rural,2014-10-13,,738,441,1,297,825,,1563,,,,,,,,,,,,,,,128,,275,,,,,,,,98%,,,,
western area urban,2014-10-13,,957,874,0,83,1018,,1975,,,,,,,,,,,,,,,52,,42,,,,,,,,98%,,,,
bo,2014-08-29,38.5,282,281,1,0,,39,581,75,1,1,15,0,0,,,,,,,,,16,4,14,,1,,0,,1,,100%,654142,,,
bombali,2014-08-29,17.1,371,366,3,2,,35,465,19,1,1,6,0,0,,,,,,,,,12,0,14,,0,,0,,0,,99%,494139,,,
bonthe,2014-08-29,100.0,6.0,6.0,0.0,0.0,,1.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,168729.0,,,
kailahun,2014-08-29,39.4,236,236,0,0,,457,1252,245,32,15,180,35,4,395,173,175,64,5,6,0,,0,4,0,,5,,0,,1,,100%,465048,,,
kambia,2014-08-29,0,12,12,0,0,,1,12,3,0,0,0,0,0,,,,,,,,,0,0,0,,1,,0,,0,,100%,341690,,,
kenema,2014-08-29,49.6,475,451,6,24,,339,1822,406,0,8,168,0,4,294,180,69,,,,,,44,3,62,,8,,0,,1,,96%,653013,,,
koinadugu,2014-08-29,0.0,,,,,,0.0,,17.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,5.0,,,335471.0,,,
kono,2014-08-29,0.0,0.0,0.0,0.0,0.0,,1.0,52.0,18.0,1.0,33.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,325003.0,,,
moyamba,2014-08-29,44.4,87.0,87.0,0.0,0.0,,9.0,144.0,17.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,2.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,278119.0,,,
port loko,2014-08-29,3.2,744,744,0,0,,62,832,17,1,2,2,1,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,557978,,,
pujehun,2014-08-29,14.3,204,200,0,4,,7,208,3,0,0,1,0,0,,,,,,,,,4,0,62,,1,,0,,0,,98%,335574,,,
tonkolili,2014-08-29,14.3,347,296,1,50,,14,352,15,0,1,2,0,0,,,,,,,,,0,0,0,,0,,0,,0,,85%,434937,,,
western area rural,2014-08-29,8.0,114.0,114.0,3.0,0.0,,25.0,114.0,17.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,0.0,1.0,3.0,,2.0,,0.0,,0.0,,100.0,263619.0,,,
western area urban,2014-08-29,4.7,196,196,0,0,,43,553,89,1,3,2,1,1,,,,,,,,,0,3,3,,2,,0,,0,,100%,1040888,,,
bo,2014-09-09,24.6,136,132,1,3,456,65,592,81,1,7,16,0,0,,,,,,,,,0,0,0,,1,,0,,0,,98%,654142,,,
bombali,2014-09-09,8.2,390,380,4,6,170,73,560,24,1,1,6,0,0,,,,,,,,,46,6,9,,0,,0,,2,,98%,494139,,,
bonthe,2014-09-09,100,5,5,0,0,27,1,32,0,0,0,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-09-09,35.8,160,158,2,0,1097,508,1397,256,32,18,182,35,4,441,210,211,74,5,2,8,,4,0,6,,1,,0,,0,,100%,465048,,,
kambia,2014-09-09,0,18,18,0,0,12,1,20,3,0,0,0,0,0,,,,,,,,,0,0,2,,0,,0,,0,,100%,341690,,,
kenema,2014-09-09,50.5,621,614,2,7,1810,394,2421,451,0,21,199,0,4,588,183,73,51,0,1,1,,52,7,21,,7,,0,,1,,99%,653013,,,
koinadugu,2014-09-09,0.0,,,,,,0.0,,24.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,335471.0,,,
kono,2014-09-09,0,76,69,7,0,80,14,157,23,1,36,2,0,1,,,,,,,,,42,2,0,,0,,0,,3,,100%,325003,,,
moyamba,2014-09-09,42.9,67,61,6,0,137,14,206,22,0,2,6,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,278119,,,
port loko,2014-09-09,15.2,1234,1155,13,68,183,105,1417,31,1,5,16,1,1,,,,,,,,,19,4,69,,1,,0,,0,,100%,557978,,,
pujehun,2014-09-09,10,178,178,0,0,154,10,333,4,0,1,1,0,0,,,,,,,,,0,0,0,,0,,0,,0,,100%,335574,,,
tonkolili,2014-09-09,8,380,380,0,0,153,25,533,21,0,1,2,0,0,,,,,,,,,0,4,0,,1,,0,,0,,100%,434937,,,
western area rural,2014-09-09,4.3,183,181,2,0,0,46,183,39,0,2,2,0,0,,,,,,,,,0,4,7,,3,,0,,0,,100%,263619,,,
western area urban,2014-09-09,3.5,318,318,0,0,436,85,754,148,1,6,3,1,1,,,,,,,,,0,9,12,,9,,0,,0,,100%,1040888,,,
bo,2014-12-05,,630,630,0,0,1101,268,1803,595,1,109,82,43,8,,,,,,,,8,0,1,0,,15,,0,,1,,100%,654142,0,,
bombali,2014-12-05,,1833,1833,0,0,4855,877,6688,811,6,116,214,19,22,,,,,,,,28,0,11,0,,38,,0,,2,,100%,494139,5,,
bonthe,2014-12-05,,108,180,0,0,165,4,273,60,0,9,3,1,1,,,,,,,,10,40,0,0,,10,,0,,0,,100%,168729,0,,
kailahun,2014-12-05,,486,486,0,0,2887,562,3373,336,32,18,228,35,4,,,,,,,,0,0,0,0,,1,,0,,0,,100%,465048,0,,
kambia,2014-12-05,,117,117,0,0,698,86,815,89,0,24,26,9,6,,,,,,,,1,0,4,6,,2,,0,,0,,100%,341690,0,,
kenema,2014-12-05,,42,42,0,0,3041,494,3318,1151,0,116,261,0,5,,,,,,,,19,3,0,0,,23,,0,,0,,100%,653013,0,,
koinadugu,2014-12-05,,247,247,0,0,8,86,255,102,32,25,27,32,0,,,,,,,,4,0,0,0,,8,,0,,1,,100%,335471,0,,
kono,2014-12-05,,480,463,14,0,661,106,1141,136,1,111,39,19,2,,,,,,,,4,66,7,0,,0,,0,,0,,99%,325003,0,,
moyamba,2014-12-05,,144,144,0,0,1559,166,1703,281,1,61,43,20,9,,,,,,,,10,10,0,25,,14,,0,,0,,100%,278119,0,,
port loko,2014-12-05,,6379,6438,2,61,2032,954,8151,894,1,244,205,1,74,,,,,,,,10,260,10,90,,19,,0,,5,,100%,557978,3,,
pujehun,2014-12-05,,119,119,0,0,1103,31,1222,25,0,15,16,2,3,,,,,,,,0,0,0,0,,0,,0,,0,,100%,335574,0,,
tonkolili,2014-12-05,,903,903,0,0,2204,382,3107,313,4,80,86,21,4,,,,,,,,0,0,1,0,,13,,0,,1,,100%,434937,0,,
western area rural,2014-12-05,,1419,1305,2,0,5192,882,7209,1012,0,156,184,2,12,,,,,,,,2,324,5,112,,18,,0,,8,,92%,263619,1,,
western area urban,2014-12-05,,5252,4791,2,26,6198,1394,12812,"2,058",1,299,255,4,8,,,,,,,,25,133,15,433,,55,,0,,6,,91%,1040888,5,,
bo,2014-11-08,25.2,213,209,3,1,911,188,1124,270,1,77,62,43,8,118,35,55,46,4,1,5,5,0,0,0,,8,,0,,0,,100%,654142,0,,
bombali,2014-11-08,21.1,944,940,4,0,1681,648,2626,421,6,87,153,19,22,,,,,,,,1,0,10,0,,12,,0,,0,,98%,494139,4,,
bonthe,2014-11-08,13.1,0,0,0,0,125,2,125,4,0,3,1,1,1,,,,,,,,0,0,0,0,,0,,0,,0,,100%,168729,0,,
kailahun,2014-11-08,40.9,469,469,0,0,2184,558,2653,312,32,18,228,35,4,1018,252,265,56,12,0,5,0,0,1,0,,0,,0,,0,,100%,465048,1,,
kambia,2014-11-08,25.0,462,457,5,0,189,52,651,32,0,11,13,9,6,,,,,,,,0,0,2,0,,3,,0,,1,,100%,341690,0,,
kenema,2014-11-08,52.1,298,298,0,0,2761,493,3170,898,0,98,257,0,4,,,,,,,,7,0,0,0,,7,,0,,0,,99%,653013,0,,
koinadugu,2014-11-08,29.2,247,247,0,0,8,48,255,50,32,14,14,32,0,,,,,,,,0,0,0,147,,0,,0,,0,,99%,335471,0,,
kono,2014-11-08,40.0,382,376,2,4,359,45,735,97,1,61,18,19,2,,,,,,,,2,0,3,0,,4,,0,,0,,98%,325003,2,,
moyamba,2014-11-08,50.0,312,312,0,0,845,135,1157,106,1,35,34,20,9,,,,,,,,6,0,14,31,,11,,0,,1,,100%,278119,1,,
port loko,2014-11-08,57.1,6040,6030,5,5,947,596,6987,367,1,85,89,1,74,,,,,,,,7,0,21,0,,76,,0,,4,,98%,557978,1,,
pujehun,2014-11-08,33.0,135,135,0,0,961,28,1103,13,0,10,16,2,3,,,,,,,,0,0,0,0,,0,,0,,0,,100%,335574,0,,
tonkolili,2014-11-08,14.9,1628,1692,1689,3,1177,261,2869,134,4,45,55,21,4,,,,,,,,5,0,20,0,,8,,0,,4,,100%,434937,4,,
western area rural,2014-11-08,25.6,1796,1734,0,2,2108,601,4015,498,0,59,91,2,12,,,,,,,,9,84,22,60,,14,,0,,3,,98%,263619,9,,
western area urban,2014-11-08,15.1,1965,1875,6,66,3631,778,6174,1007,1,107,102,4,8,,,,,,,,37,35,18,28,,47,,0,,7,,98%,1040888,11,,
bo,2014-10-14,40,306,298,0,8,661,132,967,128,1,41,53,43,3,,,,,,,,,0,5,80,,1,,0,,7,,100%,654142,,,
bombali,2014-10-14,31,1606,1599,6,1,471,402,2077,215,1,60,123,11,18,,,,,,,,,14,14,12,,9,,0,,3,,98%,494139,,,
bonthe,2014-10-14,100,15,15,0,0,90,1,105,1,0,2,1,1,1,,,,,,,,,0,0,0,,0,,0,,0,,100%,168729,,,
kailahun,2014-10-14,41,384,382,2,0,1653,536,2037,284,32,18,219,35,4,,,,,,,,,75,0,7,,0,,0,,0,,100%,465048,,,
kambia,2014-10-14,36,274,274,0,0,138,25,412,12,0,3,9,9,6,,,,,,,,,52,0,0,,2,,0,,0,,100%,341690,,,
kenema,2014-10-14,52,304,298,6,0,2641,461,2945,688,0,58,239,0,4,,,,,,,,,9,7,43,,0,,0,,10,,99%,653013,,,
koinadugu,2014-10-14,0.0,,,,,,2.0,,35.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2.0,,,4.0,,0.0,,0.0,,,335471.0,,,
kono,2014-10-14,58,333,325,8,0,191,31,524,68,1,52,18,19,2,,,,,,,,,0,0,1,,1,,0,,0,,98%,325003,,,
moyamba,2014-10-14,38,301,301,0,0,464,77,765,57,0,22,29,19,5,,,,,,,,,0,0,114,,0,,0,,0,,100%,278119,,,
port loko,2014-10-14,13,3258,3244,4,10,568,425,3826,159,1,22,57,1,49,,,,,,,,,40,20,250,,10,,0,,2,,98%,557978,,,
pujehun,2014-10-14,50,380,380,0,0,469,24,949,6,0,5,12,2,3,,,,,,,,,135,0,270,,0,,0,,2,,100%,335574,,,
tonkolili,2014-10-14,25,1342,1342,0,0,680,138,2022,62,0,24,34,17,3,,,,,,,,,89,9,82,,2,,0,,0,,100%,434937,,,
western area,2014-10-14,40.0,,,,,,723.0,,843.0,1.0,89.0,138.0,4.0,8.0,,,,,,,,,,26.0,,,22.0,,0.0,,7.0,,,1304507.0,,,
western area rural,2014-10-14,,738,441,1,297,825,,1563,,,,,,,,,,,,,,,128,,275,,,,,,,,99%,,,,
western area urban,2014-10-14,,957,874,0,83,1018,,1975,,,,,,,,,,,,,,,52,,42,,,,,,,,100%,,,,
bo,2014-11-23,29.2,471.0,470.0,1.0,0.0,995.0,236.0,1466.0,423.0,1.0,102.0,69.0,43.0,8.0,,,,,,,,0.0,0.0,0.0,141.0,,1.0,,0.0,,3.0,,100.0,654142.0,0.0,,
bombali,2014-11-23,24.2,1759.0,1750.0,0.0,9.0,1681.0,763.0,3440.0,601.0,6.0,103.0,185.0,19.0,22.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,494139.0,0.0,,
bonthe,2014-11-23,66.7,40.0,40.0,0.0,0.0,125.0,3.0,165.0,20.0,0.0,6.0,2.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,40.0,,0.0,,0.0,,0.0,,100.0,168729.0,0.0,,
kailahun,2014-11-23,40.6,605.0,605.0,0.0,0.0,2502.0,561.0,3107.0,321.0,32.0,18.0,228.0,35.0,4.0,,,,,,,,0.0,0.0,0.0,5.0,,0.0,,0.0,,0.0,,100.0,465048.0,0.0,,
kambia,2014-11-23,29.0,89.0,87.0,2.0,0.0,670.0,62.0,759.0,56.0,0.0,18.0,18.0,9.0,6.0,,,,,,,,4.0,20.0,2.0,15.0,,6.0,,0.0,,6.0,,100.0,341690.0,0.0,,
kenema,2014-11-23,52.8,58.0,58.0,0.0,0.0,3025.0,494.0,3218.0,1034.0,0.0,101.0,261.0,0.0,5.0,,,,,,,,13.0,0.0,0.0,0.0,,13.0,,0.0,,1.0,,100.0,653013.0,0.0,,
koinadugu,2014-11-23,29.5,247.0,247.0,0.0,0.0,8.0,78.0,255.0,64.0,32.0,19.0,23.0,32.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,335471.0,0.0,,
kono,2014-11-23,39.7,427.0,422.0,0.0,5.0,390.0,73.0,817.0,124.0,1.0,78.0,29.0,19.0,2.0,,,,,,,,2.0,0.0,1.0,0.0,,5.0,,0.0,,5.0,,98.0,325003.0,1.0,,
moyamba,2014-11-23,24.8,440.0,440.0,0.0,0.0,1168.0,157.0,1608.0,193.0,1.0,48.0,39.0,20.0,9.0,,,,,,,,4.0,0.0,1.0,4.0,,7.0,,0.0,,0.0,,100.0,278119.0,0.0,,
port loko,2014-11-23,16.9,6368.0,6264.0,21.0,83.0,1511.0,792.0,7879.0,615.0,1.0,171.0,134.0,1.0,74.0,,,,,,,,8.0,0.0,13.0,95.0,,38.0,,0.0,,6.0,,98.0,557978.0,0.0,,
pujehun,2014-11-23,53.3,105.0,105.0,0.0,0.0,991.0,30.0,1103.0,18.0,0.0,10.0,16.0,2.0,3.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,100.0,335574.0,0.0,,
tonkolili,2014-11-23,21.9,1216.0,1216.0,0.0,0.0,1863.0,333.0,3079.0,221.0,4.0,71.0,73.0,21.0,4.0,,,,,,,,21.0,102.0,3.0,7.0,,22.0,,0.0,,3.0,,100.0,434937.0,2.0,,
unnamed: 18,2014-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
western area rural,2014-11-23,16.3,1834.0,1770.0,0.0,0.0,3623.0,766.0,5735.0,788.0,0.0,111.0,125.0,2.0,12.0,,,,,,,,2.0,13.0,8.0,64.0,,8.0,,0.0,,0.0,,98.0,263619.0,0.0,,
western area urban,2014-11-23,14.8,2404.0,2194.0,2.0,0.0,4993.0,1093.0,8538.0,1538.0,1.0,223.0,162.0,4.0,8.0,,,,,,,,11.0,126.0,11.0,208.0,,19.0,,0.0,,1.0,,98.0,1040888.0,2.0,,
bo,2014-10-28,34.9,322,321,1,0,686,169,1034,186,1,63,59,43,8,93,27,38,,,,,0,0,0,0,,0,,0,,1,,100%,654142,0,,
bombali,2014-10-28,26.1,900,888,4,8,1681,541,2581,317,6,75,141,19,22,,,,,,,,6,0,11,0,,8,,0,,0,,98%,494139,2,,
bonthe,2014-10-28,50.0,20,20,0,0,105,2,125,2,0,3,1,1,1,,,,,,,,0,0,0,0,,0,,0,,0,,100%,168729,0,,
kailahun,2014-10-28,40.8,503,503,0,0,1835,551,2338,307,32,18,225,35,4,924,247,224,44,11,1,2,0,0,0,0,,3,,0,,0,,100%,465048,0,,
kambia,2014-10-28,25.0,130,130,0,0,385,36,525,21,0,4,9,9,6,,,,,,,,1,0,5,0,,2,,0,,0,,100%,341690,3,,
kenema,2014-10-28,51.6,328,328,0,0,2676,488,3125,795,0,84,252,0,4,,,,,,,,15,6,4,3,,16,,0,,2,,99%,653013,0,,
koinadugu,2014-10-28,46.7,55,55,0,2,0,15,58,42,32,9,7,32,0,,,,,,,,0,0,2,0,,3,,0,,4,,99%,335471,1,,
kono,2014-10-28,47.4,264,260,4,0,293,38,560,85,1,58,18,19,2,,,,,,,,0,0,0,0,,0,,0,,0,,98%,325003,0,,
moyamba,2014-10-28,34.4,245,245,0,0,782,96,1027,81,1,30,33,20,9,,,,,,,,2,7,3,17,,2,,0,,2,,100%,278119,1,,
port loko,2014-10-28,14.9,4700,4667,11,22,772,518,5472,242,1,48,77,1,74,,,,,,,,1,14,4,181,,1,,0,,1,,98%,557978,4,,
pujehun,2014-10-28,57.1,31,31,0,0,939,28,977,11,0,10,16,2,3,,,,,,,,0,0,2,0,,0,,0,,1,,100%,335574,0,,
tonkolili,2014-10-28,23.1,1682,1676,6,0,1007,199,2689,85,4,38,46,21,4,,,,,,,,0,122,6,64,,3,,0,,0,,100%,434937,3,,
western area rural,2014-10-28,17.2,1436,860,6,576,1361,478,2797,406,0,38,82,2,12,,,,,,,,0,60,4,75,,3,,0,,0,,98%,263619,1,,
western area urban,2014-10-28,15.1,1661,1377,0,284,1692,601,3353,824,1,75,91,4,8,,,,,,,,5,19,6,228,,6,,0,,9,,98%,1040888,4,,
bo,2014-10-27,35,348,345,3,0,686,169,1034,186,1,62,59,43,8,,,,,,,,14,0,7,0,,14,,0,,1,,100%,654142,0,,
bombali,2014-10-27,26,900,874,16,10,1681,529,2581,309,6,75,139,19,22,,,,,,,,9,0,32,312,,26,,0,,0,,98%,494139,3,,
